Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
Selenium Black 99+Percent 50G Plastic Bottle;Cas Number 7782-49-2, Solubility (20 Degree C) Slightly Soluble;EM1.07714.0050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07714.0050;$228.00;$21,544.00
EmsureIron for Analysis Reduced, Particle Size 10 Um 100G;Cas Number 7439-89-6;EM1.03819.0100;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.03819.0100;$105.00;$9,497.00
Ethanol;Emsure* Ethanol absolute for analysis, ACS, ISO, Reagent Ph Eur grade, Cas number: 64-17-5, Chemical Formula:C2H5OH, 4l.;EM1.00983.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00983.4000;$537.00;$2,078.00
EmsureCadmium Granular, for Analysis Particle Size about 3-6 Mm 250G;Cas Number 7440-43-9;EM1.02004.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02004.0250;$628.00;$65,168.00
EMSURE* Calcium carbonate precipitated for analysis 1kg;CALCIUM CARBONATE PRECIPITATED;EM1.02066.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.02066.1000;$407.00;$2,359.00
N-Hexane;EMSURE* n-Hexane for analysis, ACS, Reagent Ph Eur, CAS number 110-54-3, Chemical formula CH3(CH2)4CH3;EM1.04374.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04374.6025;$1,224.00;Цена для Case не найдена
EMSURE* Zinc chloride for analysis 25kg;ZINC CHLORIDE ACS GRANULAR25KG;EM1.08816.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08816.9025;$8,277.00;Цена для Case не найдена
Tert-Butyl methyl ether;Emsure* tert-Butyl methyl ether for analysis, ACS grade, Cas number: 1634-04-4, Chemical Formula:(CH3)3COCH3, 4ml.;EM1.01849.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01849.4000;$499.00;Цена для Case не найдена
1-Propanol;Emsure*1-Propanol, Reagents for Pharmacopoeia Analysis, ACS, Reagent Ph Eur grade, Cas number: 71-23-8Chemical Formula:CH3CH2CH2OH, 4ml.;EM1.00997.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00997.4000;$532.00;Цена для Case не найдена
1-Butanol;Emsure*1-Butanol for analysis, ACS, ISO, Reagent Ph Eur grade, Cas number: 71-36-3, Chemical formula:CH3(CH2)3OH, 4ml.;EM1.01990.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01990.4000;$432.00;Цена для Case не найдена
2-Propanol;Emsure* 2-Propanol for analysis, ACS, ISO, Reagent Ph Eur grade, Cas number: 67-63-0, Chemical Formula:CH3CH(OH)CH3, 4l.;EM1.09634.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09634.4000;$333.00;$1,329.00
